CG_Content,IC
65,73.6855
61.6667,74.3793
48.3333,74.6849
58.3333,77.1887
36.6667,75.7608
48.3333,75.1236
46.6667,75.8359
51.6667,75.1345
61.6667,70.7271
76.6667,69.4658
75,69.1691
66.6667,73.8202
75,67.058
70,72.3277
71.6667,64.0195
71.6667,70.5657
71.6667,72.4404
88.3333,60.97
80,66.7972
78.3333,68.5283
75,69.162
81.6667,66.1034
81.6667,63.5727
78.3333,64.2663
65,75.062
88.3333,56.0037
88.3333,54.2433
73.3333,73.6497
91.6667,45.7005
71.6667,67.2744
83.3333,63.4934
80,70.7922
45,71.2293
50,74.7978
43.3333,71.8416
50,75.6021
60,73.918
61.6667,72.3824
51.6667,74.5451
60,71.8017
73.3333,66.2776
63.3333,71.5049
40,74.3877
60,74.9504
68.3333,74.6204
66.6667,73.1058
71.6667,68.0341
76.6667,68.6774
86.6667,63.2921
90,54.0978
71.6667,71.7488
83.3333,62.6145
45,71.906
46.6667,72.7483
48.3333,73.6406
38.3333,72.143
40,72.6403
61.6667,73.3002
48.3333,73.6242
33.3333,73.0854
56.6667,70.8534
55,75.92
46.6667,70.9144
43.3333,75.9113
38.3333,74.2636
41.6667,75.2149
41.6667,65.9978
58.3333,69.6316
55,77.2525
68.3333,72.2792
71.6667,70.6757
71.6667,72.4209
43.3333,75.1926
41.6667,75.5518
45,73.8627
58.3333,72.4866
51.6667,72.0711
53.3333,76.4673
48.3333,76.9626
38.3333,76.4289
46.6667,74.0099
53.3333,72.6887
66.6667,69.8351
70,63.0876
70,72.2072
71.6667,62.4188
78.3333,68.336
78.3333,68.1656
80,70.6576
85,52.0709
71.6667,63.2448
60,59.1299
48.3333,78.0439
38.3333,72.1719
25,70.9001
48.3333,71.4988
63.3333,73.9368
70,73.8624
68.3333,73.4261
65,69.6256
66.6667,67.5153
68.3333,71.2543
46.6667,76.4906
46.6667,74.0978
53.3333,75.0254
28.3333,70.9267
43.3333,78.3426
56.6667,73.4802
55,75.4456
85,62.4405
73.3333,68.7068
83.3333,65.238
83.3333,58.4541
85,62.3703
66.6667,69.102
75,66.3492
61.6667,75.6945
75,69.1318
80,66.6766
76.6667,70.8957
73.3333,69.167
80,67.0543
43.3333,76.0339
46.6667,77.1926
55,75.1562
53.3333,74.068
53.3333,74.5677
70,74.7769
75,68.6474
76.6667,69.0425
76.6667,67.8268
83.3333,59.0878
33.3333,69.519
48.3333,76.575
55,76.7526
58.3333,75.0824
61.6667,69.7391
65,67.4778
63.3333,72.4009
71.6667,71.0496
75,65.5403
58.3333,72.414
76.6667,68.3359
68.3333,72.9881
63.3333,74.165
63.3333,73.0414
58.3333,72.1359
73.3333,72.8219
83.3333,62.3015
76.6667,66.5426
76.6667,68.1837
80,67.768
63.3333,73.1534
66.6667,70.0839
43.3333,73.5119
61.6667,74.3739
45,73.2826
56.6667,71.2362
61.6667,74.9183
75,68.2514
75,65.1591
83.3333,64.9401
46.6667,75.0104
66.6667,70.8451
61.6667,74.8376
40,70.7563
33.3333,75.1781
78.3333,70.3648
66.6667,69.5243
73.3333,68.5967
70,71.3881
75,69.4107
60,74.9774
53.3333,79.0603
50,77.8088
65,65.4832
48.3333,76.9744
46.6667,67.7931
65,71.9094
83.3333,62.9674
68.3333,65.6933
55,72.5431
61.6667,75.9085
48.3333,73.8444
45,75.637
55,76.8373
53.3333,74.0646
58.3333,71.7866
48.3333,76.7969
70,67.4341
56.6667,76.5804
66.6667,73.6735
46.6667,76.6268
53.3333,73.9031
58.3333,75.0076
58.3333,74.3189
60,75.3638
48.3333,73.7101
68.3333,70.1889
66.6667,73.7771
66.6667,73.1366
70,70.9649
41.6667,71.8331
41.6667,73.7876
33.3333,73.1971
35,72.119
55,75.5628
65,72.0442
58.3333,75.0173
76.6667,62.7198
78.3333,65.9939
70,71.8245
68.3333,70.7647
50,73.702
50,74.8159
63.3333,72.74
48.3333,74.7063
53.3333,73.141
63.3333,75.1238
61.6667,74.419
76.6667,65.4131
83.3333,55.8222
76.6667,64.2375
76.6667,69.511
65,75.9128
65,72.0953
76.6667,68.9507
56.6667,71.9764
68.3333,70.7882
68.3333,73.2408
61.6667,74.6405
83.3333,62.0906
45,75.9997
58.3333,75.1853
63.3333,74.341
81.6667,65.4343
63.3333,70.9936
75,62.94
61.6667,75.5179
78.3333,71.1509
76.6667,67.3992
78.3333,60.5053
56.6667,74.5274
43.3333,80.0984
53.3333,75.1188
58.3333,71.6015
43.3333,75.6395
63.3333,69.2801
61.6667,72.4953
66.6667,71.5375
61.6667,73.1317
56.6667,77.0117
45,76.8446
61.6667,76.0942
50,76.8693
48.3333,77.0116
63.3333,74.7048
51.6667,75.8952
51.6667,75.0614
46.6667,76.0606
43.3333,75.8452
60,72.7241
63.3333,72.0349
51.6667,75.0438
20,69.1949
43.3333,77.8416
55,73.4618
51.6667,78.3363
60,75.6035
58.3333,73.5941
61.6667,73.4184
60,74.7164
60,76.5481
63.3333,73.2219
63.3333,72.1331
58.3333,76.91
83.3333,64.9543
80,64.9314
83.3333,62.3602
78.3333,68.3873
75,67.5706
71.6667,72.7036
53.3333,77.1782
53.3333,73.7277
53.3333,74.3697
60,72.0199
43.3333,76.0129
56.6667,75.6454
65,74.9054
76.6667,66.8253
73.3333,67.5588
78.3333,67.9483
46.6667,76.568
45,73.9804
58.3333,71.6657
51.6667,79.0455
58.3333,76.3822
70,68.8882
63.3333,74.0315
66.6667,73.0781
68.3333,68.4293
71.6667,69.0277
73.3333,72.8281
76.6667,68.0881
73.3333,67.4792
68.3333,71.2678
73.3333,69.0076
70,69.1177
78.3333,61.9609
71.6667,69.6511
73.3333,67.5894
70,67.2099
56.6667,74.0441
60,69.2808
43.3333,77.0254
41.6667,67.8474
53.3333,75.4644
48.3333,72.3768
60,71.4468
85,61.289
65,73.0613
76.6667,64.9141
63.3333,72.6284
56.6667,75.2309
50,77.847
55,76.3638
51.6667,74.7392
48.3333,77.0742
63.3333,75.2357
58.3333,72.9902
75,66.9046
76.6667,67.5072
55,67.3786
45,74.8563
40,74.5792
35,73.8234
61.6667,75.6601
56.6667,73.4196
51.6667,73.9528
58.3333,75.2275
63.3333,73.7685
43.3333,79.2011
50,74.5542
48.3333,72.612
58.3333,76.5164
63.3333,72.2916
55,77.907
66.6667,72.6934
71.6667,70.1892
41.6667,74.5403
63.3333,75.5733
58.3333,74.1661
50,75.824
38.3333,71.7807
36.6667,72.7406
41.6667,75.2017
50,75.2255
50,77.4521
63.3333,70.5678
76.6667,68.2013
63.3333,75.064
63.3333,72.4519
63.3333,71.3569
58.3333,74.4328
45,74.7709
33.3333,72.5432
36.6667,71.7536
53.3333,73.7464
38.3333,74.4815
61.6667,73.6861
70,67.7686
70,70.9958
58.3333,74.6749
53.3333,77.3012
56.6667,77.0119
70,65.8125
71.6667,70.8946
55,75.6172
70,68.9865
46.6667,74.1877
58.3333,74.0377
53.3333,73.723
45,77.0672
35,74.2056
58.3333,73.8765
45,76.2038
55,75.237
60,72.769
46.6667,73.1002
60,75.1104
51.6667,70.5729
58.3333,73.6464
71.6667,70.5585
76.6667,63.8526
76.6667,65.4083
60,74.6997
58.3333,75.9611
68.3333,74.5882
71.6667,65.1044
65,72.9539
56.6667,75.3703
53.3333,75.4215
73.3333,68.1414
55,74.8187
61.6667,74.9889
66.6667,74.7031
56.6667,73.7067
50,72.1119
70,71.4199
78.3333,66.553
66.6667,72.8578
65,70.3208
58.3333,76.0174
56.6667,74.9558
45,72.087
33.3333,75.0427
40,73.5263
50,74.3878
70,67.4185
83.3333,63.2411
58.3333,75.2841
70,73.2108
33.3333,70.4931
45,74.587
55,71.9323
48.3333,76.2519
65,72.7851
58.3333,75.1946
71.6667,68.6687
83.3333,66.611
85,60.8791
70,66.9107
56.6667,72.6411
58.3333,73.2951
56.6667,75.645
58.3333,71.3386
70,71.5234
70,73.0304
80,67.6693
73.3333,69.1287
70,65.1956
66.6667,72.2437
71.6667,68.8377
70,70.7441
68.3333,72.5577
50,75.6446
80,68.1387
75,72.101
76.6667,66.5132
73.3333,70.4787
76.6667,69.5184
78.3333,64.5687
55,74.8461
35,74.4105
30,70.9491
70,71.2875
55,75.8494
46.6667,71.6233
63.3333,72.1312
48.3333,74.5303
60,72.3982
48.3333,74.6295
76.6667,61.5539
76.6667,66.4527
86.6667,58.9951
83.3333,62.5358
76.6667,69.9943
68.3333,71.9346
78.3333,67.4125
85,59.4293
71.6667,70.7137
61.6667,73.2241
51.6667,74.7593
48.3333,78.1116
45,77.3537
53.3333,74.7686
70,69.645
75,70.4353
75,68.3072
73.3333,70.3259
66.6667,71.4611
76.6667,67.4104
43.3333,74.955
40,74.2575
56.6667,74.0457
61.6667,74.1786
60,74.6052
66.6667,72.5601
68.3333,70.9186
70,72.1502
60,73.5946
63.3333,70.9403
60,70.5293
53.3333,76.4189
71.6667,74.3141
65,70.5058
60,68.2296
70,72.4654
65,73.3066
73.3333,70.4956
68.3333,73.4039
65,70.4695
55,74.2826
50,76.4729
61.6667,76.1384
73.3333,69.4597
60,76.4921
73.3333,70.4566
81.6667,68.0872
68.3333,72.1043
80,65.4322
70,69.4167
46.6667,68.6224
38.3333,74.1208
33.3333,71.8198
51.6667,75.6843
56.6667,74.7727
56.6667,73.5169
56.6667,73.5824
60,71.4383
46.6667,68.6995
53.3333,71.1881
45,77.016
33.3333,71.1481
48.3333,76.3594
63.3333,70.5606
61.6667,71.9694
70,70.4416
76.6667,65.8388
68.3333,73.4414
65,75.1596
68.3333,73.3874
50,75.1649
31.6667,68.9422
60,74.1158
61.6667,74.5779
65,70.8125
73.3333,68.8104
73.3333,68.6388
73.3333,66.9001
60,76.185
60,71.186
61.6667,73.6722
70,70.1315
66.6667,72.2186
60,70.9449
60,76.4672
73.3333,58.182
76.6667,57.2064
65,72.3791
50,78.1093
68.3333,65.842
70,71.5499
65,74.2046
78.3333,66.6841
63.3333,63.4137
78.3333,64.4371
78.3333,69.2565
85,61.3124
81.6667,36.661
68.3333,73.8316
70,71.0027
60,73.3726
61.6667,66.6679
71.6667,70.9664
81.6667,63.6947
80,67.0312
78.3333,69.0638
56.6667,74.0944
78.3333,68.0945
70,69.5136
66.6667,70.0771
43.3333,75.9535
53.3333,76.7116
65,72.9919
50,75.6223
68.3333,69.6499
51.6667,71.1107
61.6667,71.1248
71.6667,68.292
63.3333,73.8364
63.3333,73.2028
58.3333,67.394
50,74.1343
53.3333,75.9514
61.6667,75.1738
63.3333,77.0843
70,71.9575
40,75.2976
53.3333,76.1546
73.3333,71.0194
60,75.4827
35,71.8989
45,71.2762
35,74.1933
40,75.739
43.3333,74.306
51.6667,76.5243
51.6667,73.5161
53.3333,77.7741
58.3333,72.3911
61.6667,76.2679
51.6667,74.8651
63.3333,73.8814
53.3333,77.4526
53.3333,76.2318
65,74.012
58.3333,74.8299
46.6667,75.1119
51.6667,77.1786
56.6667,70.1555
68.3333,70.8103
56.6667,75.3637
53.3333,75.1992
51.6667,73.3091
48.3333,76.688
53.3333,74.8856
65,72.8691
65,71.6586
75,68.8604
71.6667,71.7574
71.6667,66.921
58.3333,70.5655
66.6667,70.4745
66.6667,70.4532
65,71.9339
71.6667,72.2611
73.3333,72.0431
78.3333,61.8022
73.3333,70.8894
61.6667,74.3091
66.6667,58.705
61.6667,73.523
56.6667,73.7343
46.6667,73.6154
56.6667,75.0616
48.3333,74.6703
63.3333,74.6232
80,64.1954
65,72.4397
63.3333,71.7652
65,74.535
60,73.4208
33.3333,74.6416
56.6667,76.2771
56.6667,74.0769
28.3333,58.3762
55,72.4147
65,74.7183
51.6667,76.2116
61.6667,72.0704
70,73.2403
63.3333,74.0518
56.6667,78.0043
48.3333,75.6279
33.3333,75.9996
50,76.7241
60,74.1669
50,75.3268
66.6667,73.3881
73.3333,67.8423
80,64.6717
41.6667,74.9042
56.6667,71.1174
58.3333,74.6458
65,68.7173
60,70.7084
73.3333,71.0289
90,59.8306
78.3333,64.8451
73.3333,64.9276
